,crime_code,discription
0,110,CRIMINAL HOMICIDE
1,113,"MANSLAUGHTER, NEGLIGENT"
2,121,"RAPE, FORCIBLE"
3,122,"RAPE, ATTEMPTED"
4,210,ROBBERY
5,220,ATTEMPTED ROBBERY
6,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
7,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
8,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
9,236,INTIMATE PARTNER - AGGRAVATED ASSAULT
10,237,CHILD NEGLECT (SEE 300 W.I.C.)
11,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
12,251,SHOTS FIRED AT INHABITED DWELLING
13,310,BURGLARY
14,320,"BURGLARY, ATTEMPTED"
15,330,BURGLARY FROM VEHICLE
16,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
17,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
18,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
19,345,DISHONEST EMPLOYEE - GRAND THEFT
20,347,GRAND THEFT / INSURANCE FRAUD
21,349,GRAND THEFT / AUTO REPAIR
22,350,"THEFT, PERSON"
23,351,PURSE SNATCHING
24,352,PICKPOCKET
25,353,DRUNK ROLL
26,354,THEFT OF IDENTITY
27,410,"BURGLARY FROM VEHICLE, ATTEMPTED"
28,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
29,421,THEFT FROM MOTOR VEHICLE - ATTEMPT
30,432,BLOCKING DOOR INDUCTION CENTER
31,433,DRIVING WITHOUT OWNER CONSENT (DWOC)
32,434,FALSE IMPRISONMENT
33,435,LYNCHING
34,436,LYNCHING - ATTEMPTED
35,437,RESISTING ARREST
36,438,RECKLESS DRIVING
37,439,FALSE POLICE REPORT
38,440,THEFT PLAIN - PETTY ($950 & UNDER)
39,441,THEFT PLAIN - ATTEMPT
40,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
41,443,SHOPLIFTING - ATTEMPT
42,444,DISHONEST EMPLOYEE - PETTY THEFT
43,445,DISHONEST EMPLOYEE ATTEMPTED THEFT
44,446,PETTY THEFT - AUTO REPAIR
45,450,THEFT FROM PERSON - ATTEMPT
46,451,PURSE SNATCHING - ATTEMPT
47,452,"PICKPOCKET, ATTEMPT"
48,453,DRUNK ROLL - ATTEMPT
49,470,TILL TAP - GRAND THEFT ($950.01 & OVER)
50,471,TILL TAP - PETTY ($950 & UNDER)
51,472,TILL TAP - ATTEMPT
52,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
53,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
54,475,"THEFT, COIN MACHINE - ATTEMPT"
55,480,BIKE - STOLEN
56,485,BIKE - ATTEMPTED STOLEN
57,487,BOAT - STOLEN
58,510,VEHICLE - STOLEN
59,520,VEHICLE - ATTEMPT STOLEN
60,622,BATTERY ON A FIREFIGHTER
61,623,BATTERY POLICE (SIMPLE)
62,624,BATTERY - SIMPLE ASSAULT
63,625,OTHER ASSAULT
64,626,INTIMATE PARTNER - SIMPLE ASSAULT
65,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
66,647,THROWING OBJECT AT MOVING VEHICLE
67,648,ARSON
68,649,DOCUMENT FORGERY / STOLEN FELONY
69,651,DOCUMENT WORTHLESS ($200.01 & OVER)
70,652,DOCUMENT WORTHLESS ($200 & UNDER)
71,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
72,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
73,660,COUNTERFEIT
74,661,UNAUTHORIZED COMPUTER ACCESS
75,662,"BUNCO, GRAND THEFT"
76,664,"BUNCO, PETTY THEFT"
77,666,"BUNCO, ATTEMPT"
78,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
79,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
80,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
81,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
82,753,DISCHARGE FIREARMS/SHOTS FIRED
83,755,BOMB SCARE
84,756,WEAPONS POSSESSION/BOMBING
85,760,
86,761,BRANDISH WEAPON
87,762,LEWD CONDUCT
88,763,STALKING
89,805,PIMPING
90,806,PANDERING
91,810,"SEX, UNLAWFUL"
92,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060
93,813,CHILD ANNOYING (17YRS & UNDER)
94,814,
95,815,SEXUAL PENTRATION WITH A FOREIGN OBJECT
96,820,ORAL COPULATION
97,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02
98,822,
99,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
100,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065"
101,850,INDECENT EXPOSURE
102,860,BATTERY WITH SEXUAL CONTACT
103,865,"DRUGS, TO A MINOR"
104,870,CHILD ABANDONMENT
105,880,DISRUPT SCHOOL
106,882,INCITING A RIOT
107,884,FAILURE TO DISPERSE
108,886,DISTURBING THE PEACE
109,888,TRESPASSING
110,890,FAILURE TO YIELD
111,900,VIOLATION OF COURT ORDER
112,901,VIOLATION OF RESTRAINING ORDER
113,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
114,903,CONTEMPT OF COURT
115,910,KIDNAPPING
116,920,KIDNAPPING - GRAND ATTEMPT
117,921,
118,922,CHILD STEALING
119,924,TELEPHONE PROPERTY - DAMAGE
120,926,TRAIN WRECKING
121,928,THREATENING PHONE CALLS/LETTERS
122,930,CRIMINAL THREATS - NO WEAPON DISPLAYED
123,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132"
124,932,PEEPING TOM
125,933,PROWLER
126,940,EXTORTION
127,942,BRIBERY
128,943,CRUELTY TO ANIMALS
129,944,CONSPIRACY
130,946,OTHER MISCELLANEOUS CRIME
131,948,BIGAMY
132,949,ILLEGAL DUMPING
133,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
134,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
135,952,ABORTION/ILLEGAL
136,954,CONTRIBUTING
137,956,"LETTERS, LEWD"
